codBarras;NumeroOrden;Autor;Clasificacion;isbn;Titulo;Z13_IMPRINT;Año;Colección;Z30_DESCRIPTION;Material;Estatus de Item;Estatus de Proceso;Z30_PROCESS_STATUS_DATE;Fecha Arribo;Biblioteca;Z68_ORDER_GROUP;PARTIDA;Z68_ORDER_DATE
1014;9014;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.07;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1015;9015;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.08;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1016;9016;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.09;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1017;9017;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.10;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1018;9018;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.11;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1019;9019;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.12;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1020;9020;Autora, Prueba;658 H477A11;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1021;9021;Autora, Prueba;658 H477A11 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1022;9022;Autora, Prueba;658.001 D124a 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1023;9023;Autora, Prueba;658.401.2 E555e 23;9789968319843;Dos puntos en la clase;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1024;9024;Autora, Prueba;658.8 S357m 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1025;9025;Autora, Prueba;863 S248m 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1026;9026;Autora, Prueba;863 S25m 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1027;9027;Autora, Prueba;863 S-925t3 23;9789968319843;Guion como separador visual;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1028;9028;Autora, Prueba;CR863 A111a 23;9789968319843;Literatura de CR;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1029;9029;Autora, Prueba;CR863 Z999z 23;9789968319843;Literatura de CR;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1030;9030;Autora, Prueba;M863 A111a 23;9789968319843;Literatura de M;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1031;9031;Autora, Prueba;Pe863 B222b 23;9789968319843;Literatura de Pe;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1032;9032;Autora, Prueba;Ch863 C333c 23;9789968319843;Literatura de Ch;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1033;9033;Autora, Prueba;V863 D444d 23;9789968319843;Literatura de V;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1034;9034;Autora, Prueba;8693.7 M378a 23;9789968319843;Clase de cuatro dígitos;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1035;9035;Autora, Prueba;658 W721 A6 XYZ;9789968319843;Cutter con un token de más;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1036;9036;Autora, Prueba;;9789968319843;Sin signatura;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
;;;;;;;;;;;;;;;;;;
TOTAL;36;;;;;;;;;;;;;;;;;
